objectid,行政區,地標類型,地標名稱,地址,電話,網址,twd97_x,twd97_y,更新日期
28,三重區,公所,三重區公所,新北市三重區過田里4鄰新北大道一段11號,02-29862345,,299271.41000000,2772604.57000000,2024-12-26 09:28:17.233000
29,三峽區,公所,三峽區公所,新北市三峽區永館里5鄰中山路17號,02-26711017,,287258.76000000,2758543.40000000,2024-12-26 09:28:17.233000
30,土城區,公所,土城區公所,新北市土城區埤塘里12鄰金城路一段101號,02-22732000,,294707.50000000,2762812.46000000,2024-12-26 09:28:17.233000
31,中和區,公所,中和區公所,新北市中和區漳和里3鄰景平路634-2號,02-22482688,,300545.42000000,2765707.00000000,2024-12-26 09:28:17.233000
32,五股區,公所,五股區公所,新北市五股區五股里11鄰中興路四段50號,02-22916051,,294192.84000000,2775046.23000000,2024-12-26 09:28:17.233000
33,平溪區,公所,平溪區公所,新北市平溪區平溪里3鄰平溪街45號,02-24951510,,324499.81000000,2768927.82000000,2024-12-26 09:28:17.233000
34,永和區,公所,永和區公所,新北市永和區豫溪里15鄰竹林路200號,02-29282828,,302536.62000000,2766896.88000000,2024-12-26 09:28:17.233000
35,石門區,公所,石門區公所,新北市石門區尖鹿里3鄰中山路66號,02-26381721,,307184.65000000,2798154.32000000,2024-12-26 09:28:17.233000
36,石碇區,公所,石碇區公所,新北市石碇區潭邊里5鄰碇坪路一段37號,02-26631080,,316417.81000000,2764994.16000000,2024-12-26 09:28:17.233000
37,汐止區,公所,汐止區公所,新北市汐止區秀峰里1鄰新台五路一段268號,02-26411111,,316476.16000000,2773007.90000000,2024-12-26 09:28:17.233000
38,坪林區,公所,坪林區公所,新北市坪林區坪林里2鄰坪林街101號,02-26657251,,321881.02000000,2758895.17000000,2024-12-26 09:28:17.233000
39,林口區,公所,林口區公所,新北市林口區西林里12鄰仁愛路一段378號,02-26033111,,289223.28000000,2774333.39000000,2024-12-26 09:28:17.233000
40,板橋區,公所,板橋區公所,新北市板橋區挹秀里8鄰府中路30號,02-29686911,,296334.80000000,2766920.85000000,2024-12-26 09:28:17.233000
41,金山區,公所,金山區公所,新北市金山區金美里17鄰中正路11號,02-24985965,,314147.44000000,2790544.71000000,2024-12-26 09:28:17.233000
42,泰山區,公所,泰山區公所,新北市泰山區同榮里2鄰明志路一段322號,02-29099551,,293524.29000000,2772402.95000000,2024-12-26 09:28:17.233000
43,烏來區,公所,烏來區公所,新北市烏來區忠治里2鄰新烏路五段111號,02-26616442,,305372.92000000,2751684.65000000,2024-12-26 09:28:17.233000
44,貢寮區,公所,貢寮區公所,新北市貢寮區貢寮里13鄰長泰路20號,02-24941601,,341444.81000000,2768399.81000000,2024-12-26 09:28:17.233000
45,淡水區,公所,淡水區公所,新北市淡水區崁頂里2鄰中山北路二段375號,02-26221020,,294729.54000000,2786576.26000000,2024-12-26 09:28:17.233000
46,深坑區,公所,深坑區公所,新北市深坑區深坑里13鄰深坑街10號,02-26623116,,312166.35000000,2766190.62000000,2024-12-26 09:28:17.233000
47,新店區,公所,新店區公所,新北市新店區中興里7鄰北新路一段86號7~9樓,02-29112281,,304719.33000000,2762258.96000000,2024-12-26 09:28:17.233000
48,新莊區,公所,新莊區公所,新北市新莊區興漢里22鄰中正路176號,02-29929891,,295472.12000000,2769825.10000000,2024-12-26 09:28:17.233000
49,瑞芳區,公所,瑞芳區公所,新北市瑞芳區龍鎮里8鄰逢甲路82號,02-24972250,,331682.83000000,2778078.58000000,2024-12-26 09:28:17.233000
50,萬里區,公所,萬里區公所,新北市萬里區萬里里3鄰瑪鋉路123號,02-24922064,,319496.58000000,2785669.38000000,2024-12-26 09:28:17.233000
51,樹林區,公所,樹林區公所,新北市樹林區樹東里8鄰鎮前街93號,02-26812106,,292854.72000000,2764724.19000000,2024-12-26 09:28:17.233000
52,雙溪區,公所,雙溪區公所,新北市雙溪區共和里5鄰東榮街25號,02-24931111,,337371.41000000,2769799.11000000,2024-12-26 09:28:17.233000
53,蘆洲區,公所,蘆洲區公所,新北市蘆洲區保和里1鄰三民路95號,02-22811484,,297801.74000000,2775249.26000000,2024-12-26 09:28:17.233000
54,鶯歌區,公所,鶯歌區公所,新北市鶯歌區北鶯里8鄰仁愛路55號,02-26780202,,285764.73000000,2760966.15000000,2024-12-26 09:28:17.233000
55,八里區,戶政事務所,新北市五股戶政事務所八里區所,新北市八里區頂罟里7鄰八里大道16號,02-26102204,www.wugu.ris.ca.ntpc.gov.tw,290982.73000000,2782876.46000000,2024-12-26 09:28:17.233000
56,三芝區,戶政事務所,新北市金山戶政事務所三芝區所,新北市三芝區埔頭里27鄰中山路一段32號,02-26362889,www.jinshan.ris.ca.ntpc.gov.tw,300483.84000000,2794434.90000000,2024-12-26 09:28:17.233000
57,三重區,戶政事務所,新北市三重戶政事務所本所,新北市三重區過田里4鄰新北大道一段9號4~6樓,02-29812291,www.sanchong.ris.ca.ntpc.gov.tw,299358.56000000,2772640.47000000,2024-12-26 09:28:17.233000
58,三重區,戶政事務所,新北市三重戶政事務所溪美辦事處,新北市三重區溪美里8鄰溪尾街73號2樓,02-29810909,www.sanchong.ris.ca.ntpc.gov.tw,299496.18000000,2774493.95000000,2024-12-26 09:28:17.233000
59,三峽區,戶政事務所,新北市三峽戶政事務所本所,新北市三峽區介壽里10鄰光明路71號5樓,02-26711173,www.sanxia.ris.ca.ntpc.gov.tw,287978.08000000,2757920.45000000,2024-12-26 09:28:17.233000
60,三峽區,戶政事務所,新北市三峽樹林戶政北大工作站,新北市三峽區龍學里15鄰學成路396號4樓,02-86716763,,288154.02000000,2759638.94000000,2024-12-26 09:28:17.233000
61,土城區,戶政事務所,新北市土城戶政事務所本所,新北市土城區埤塘里4鄰和平路28號,02-22605640,www.tucheng.ris.ca.ntpc.gov.tw,294752.30000000,2762822.67000000,2024-12-26 09:28:17.233000
62,中和區,戶政事務所,新北市中和戶政事務所本所,新北市中和區外南里2鄰南山路236號4樓,02-29495759,www.zhonghe.ris.ca.ntpc.gov.tw,301147.44000000,2764736.82000000,2024-12-26 09:28:17.233000
63,中和區,戶政事務所,新北市中和戶政事務所民享辦事處,新北市中和區民有里22鄰民享街37號2樓之1,02-22263186,www.zhonghe.ris.ca.ntpc.gov.tw,297855.03000000,2766270.50000000,2024-12-26 09:28:17.233000
64,中和區,戶政事務所,新北市中和戶政事務所員山辦事處,新北市中和區員富里4鄰中正路1163號3樓,02-22259730,www.zhonghe.ris.ca.ntpc.gov.tw,298612.16000000,2766869.38000000,2024-12-26 09:28:17.233000
65,五股區,戶政事務所,新北市五股戶政事務所本所,新北市五股區新城八路275號,02-22916698,www.wugu.ris.ca.ntpc.gov.tw,294929.67832900,2775996.94704040,2024-12-26 09:28:17.233000
66,平溪區,戶政事務所,新北市瑞芳戶政事務所平溪區所,新北市平溪區平溪里3鄰平溪街43號,02-24951076,www.ruifang.ris.ca.ntpc.gov.tw,324515.39000000,2768891.13000000,2024-12-26 09:28:17.233000
67,永和區,戶政事務所,新北市永和戶政事務所,新北市永和區豫溪里15鄰竹林路200-1號,02-29291276,www.yonghe.ris.ca.ntpc.gov.tw,302494.86000000,2766861.00000000,2024-12-26 09:28:17.233000
68,石門區,戶政事務所,新北市金山戶政事務所石門區所,新北市石門區尖鹿里3鄰中山路66號,02-26381307,www.jinshan.ris.ca.ntpc.gov.tw,307184.35000000,2798153.21000000,2024-12-26 09:28:17.233000
69,石碇區,戶政事務所,新北市新店戶政事務所石碇區所,新北市石碇區潭邊里4鄰碇坪路一段88號,02-26631337,www.xindian.ris.ca.ntpc.gov.tw,316412.96000000,2764977.67000000,2024-12-26 09:28:17.233000
70,汐止區,戶政事務所,新北市汐止戶政事務所,新北市汐止區秀峰里1鄰新台五路一段268號6樓,02-26429866,www.xizhi.ris.ca.ntpc.gov.tw,316477.47000000,2773003.56000000,2024-12-26 09:28:17.233000
71,坪林區,戶政事務所,新北市新店戶政事務所坪林區所,新北市坪林區坪林里2鄰坪林106-1號,02-26656231,www.xindian.ris.ca.ntpc.gov.tw,321860.79000000,2758849.76000000,2024-12-26 09:28:17.233000
72,林口區,戶政事務所,新北市林口戶政事務所,新北市林口區西林里12鄰仁愛路一段378號,02-26011574,www.linkou.ris.ca.ntpc.gov.tw,289221.46000000,2774333.49000000,2024-12-26 09:28:17.233000
73,板橋區,戶政事務所,新北市板橋戶政事務所本所,新北市板橋區社後里1鄰中正路6號,02-29655656,www.banqiao.ris.ca.ntpc.gov.tw,296074.74000000,2767263.62000000,2024-12-26 09:28:17.233000
74,板橋區,戶政事務所,新北市板橋戶政事務所海山辦事處,新北市板橋區東安里9鄰漢生東路195-1號,02-29580977,www.banqiao.ris.ca.ntpc.gov.tw,297447.94000000,2767142.79000000,2024-12-26 09:28:17.233000
75,板橋區,戶政事務所,新北市板橋戶政事務所溪崑工作站,新北市板橋區堂春里5鄰溪北路111號4樓,02-26841935,www.banqiao.ris.ca.ntpc.gov.tw,293463.22000000,2764574.74000000,2024-12-26 09:28:17.233000
76,板橋區,戶政事務所,新北市政府民政局,新北市板橋區福丘里13鄰中山路一段161號14樓,02-29603456#8098、8099,www.ca.ntpc.gov.tw,296994.56000000,2767241.28000000,2024-12-26 09:28:17.233000
77,金山區,戶政事務所,新北市金山戶政事務所本所,新北市金山區大同里1鄰民生路67號,02-24982059,www.jinshan.ris.ca.ntpc.gov.tw,314542.59000000,2790330.76000000,2024-12-26 09:28:17.233000
78,泰山區,戶政事務所,新北市泰山戶政事務所,新北市泰山區全興里7鄰全興路212號4樓,02-29096775,www.taishan.ris.ca.ntpc.gov.tw,293760.39000000,2772054.92000000,2024-12-26 09:28:17.233000
79,烏來區,戶政事務所,新北市新店戶政事務所烏來區所,新北市烏來區忠治里2鄰新烏路五段111號,02-26616713,www.xindian.ris.ca.ntpc.gov.tw,305373.53000000,2751678.98000000,2024-12-26 09:28:17.233000
80,貢寮區,戶政事務所,新北市瑞芳戶政事務所貢寮區所,新北市貢寮區貢寮里13鄰長泰路20-1號,02-24941034,www.ruifang.ris.ca.ntpc.gov.tw,341422.27000000,2768402.75000000,2024-12-26 09:28:17.233000
81,淡水區,戶政事務所,新北市淡水戶政事務所,新北市淡水區崁頂里2鄰中山北路二段375號2樓,02-26232830,www.tamsui.ris.ca.ntpc.gov.tw,294726.31000000,2786566.85000000,2024-12-26 09:28:17.233000
82,深坑區,戶政事務所,新北市新店戶政事務所深坑區所,新北市深坑區深坑里2鄰平埔街16號4樓,02-26620383,www.xindian.ris.ca.ntpc.gov.tw,312121.76000000,2766092.84000000,2024-12-26 09:28:17.233000
83,新店區,戶政事務所,新北市新店戶政事務所本所,新北市新店區中興里7鄰北新路一段86號11樓,02-29147675,www.xindian.ris.ca.ntpc.gov.tw,304719.33000000,2762255.33000000,2024-12-26 09:28:17.233000
84,新店區,戶政事務所,新北市新店戶政事務所安康辦事處,新北市新店區公崙里14鄰安康路二段120號3樓,02-22116931,www.xindian.ris.ca.ntpc.gov.tw,301784.65000000,2761771.91000000,2024-12-26 09:28:17.233000
85,新莊區,戶政事務所,新北市新莊戶政事務所本所,新北市新莊區榮和里12鄰中華路一段1號2樓,02-29912866,www.xinzhuang.ris.ca.ntpc.gov.tw,295608.31000000,2769862.91000000,2024-12-26 09:28:17.233000
86,新莊區,戶政事務所,新北市新莊戶政事務所福營辦事處,新北市新莊區四維里2鄰四維路9號2樓,02-22012128,www.xinzhuang.ris.ca.ntpc.gov.tw,292767.56000000,2768558.06000000,2024-12-26 09:28:17.233000
87,瑞芳區,戶政事務所,新北市瑞芳戶政事務所本所,新北市瑞芳區龍興里8鄰中正路30號5樓,02-24972229,www.ruifang.ris.ca.ntpc.gov.tw,331452.40000000,2777904.77000000,2024-12-26 09:28:17.233000
88,萬里區,戶政事務所,新北市金山戶政事務所萬里區所,新北市萬里區萬里里3鄰瑪鋉路123號2樓,02-24922063,www.jinshan.ris.ca.ntpc.gov.tw,319507.40000000,2785678.88000000,2024-12-26 09:28:17.233000
89,樹林區,戶政事務所,新北市樹林戶政事務所,新北市樹林區潭底里9鄰保安街一段285號,02-26842131,www.shulin.ris.ca.ntpc.gov.tw,292279.69000000,2765457.25000000,2024-12-26 09:28:17.233000
90,雙溪區,戶政事務所,新北市瑞芳戶政事務所雙溪區所,新北市雙溪區雙溪里9鄰太平路62號,02-24931105,www.ruifang.ris.ca.ntpc.gov.tw,337293.05000000,2770009.12000000,2024-12-26 09:28:17.233000
91,蘆洲區,戶政事務所,新北市蘆洲戶政事務所,新北市蘆洲區仁義里1鄰集賢路245號8樓,02-22818536,www.luzhou.ris.ca.ntpc.gov.tw,298591.53000000,2775257.25000000,2024-12-26 09:28:17.233000
92,鶯歌區,戶政事務所,新北市鶯歌戶政事務所,新北市鶯歌區北鶯里8鄰仁愛路53號,02-26797784,www.yingge.ris.ca.ntpc.gov.tw,285754.82000000,2760978.18000000,2024-12-26 09:28:17.233000
93,平溪區,火車站,十分站,新北市平溪區十分里2鄰十分街51號,02-24958307,,328208.41000000,2770542.79000000,2024-12-26 09:28:17.233000
94,平溪區,火車站,大華站,新北市平溪區南山里6鄰六分路12-1號,,,330472.12000000,2771539.45000000,2024-12-26 09:28:17.233000
95,平溪區,火車站,平溪站,新北市平溪區嶺腳里9鄰中華街12號,,,324683.54000000,2768813.77000000,2024-12-26 09:28:17.233000
96,平溪區,火車站,望古站,新北市平溪區望古里,,,327079.49000000,2769824.99000000,2024-12-26 09:28:17.233000
97,平溪區,火車站,菁桐站,新北市平溪區菁桐里菁桐街52號,,,323060.89000000,2768616.50000000,2024-12-26 09:28:17.233000
98,平溪區,火車站,嶺腳站,新北市平溪區嶺腳里嶺腳街22號,,,325485.36000000,2769325.30000000,2024-12-26 09:28:17.233000
99,汐止區,火車站,五堵站,新北市汐止區長安里5鄰長安路17號,02-86476200,,317350.38000000,2774567.96000000,2024-12-26 09:28:17.233000
100,汐止區,火車站,汐止站,新北市汐止區信望里4鄰信義路1號,02-26415096,,316792.34000000,2773534.00000000,2024-12-26 09:28:17.233000
101,汐止區,火車站,汐科站,新北市汐止區大同里23鄰大同路二段182號,02-23815226#8730,,315242.99000000,2772863.22000000,2024-12-26 09:28:17.233000
102,板橋區,火車站,板橋站,新北市板橋區挹秀里13鄰文化路一段54號(縣民大道二段7號),02-89691036,,296818.72000000,2767394.86000000,2024-12-26 09:28:17.233000
103,板橋區,火車站,浮洲站,新北市板橋區僑中里,,,294892.54000000,2766319.63000000,2024-12-26 09:28:17.233000
104,貢寮區,火車站,貢寮站,新北市貢寮區貢寮里7鄰朝陽街33號,02-24941500,,341711.15000000,2768522.87000000,2024-12-26 09:28:17.233000
105,貢寮區,火車站,福隆站,新北市貢寮區福隆里11鄰福隆街2號,02-24991800,,345348.65000000,2767875.05000000,2024-12-26 09:28:17.233000
106,瑞芳區,火車站,八斗子站,新北市瑞芳區深澳里15鄰建基路二段121號隔壁,,,330962.61000000,2781004.07000000,2024-12-26 09:28:17.233000
107,瑞芳區,火車站,三貂嶺站,新北市瑞芳區碩仁里6鄰魚寮路1號,02-24971896,,332983.24000000,2773288.49000000,2024-12-26 09:28:17.233000
108,瑞芳區,火車站,四腳亭站,新北市瑞芳區吉慶里9鄰中央路65號,02-24579346,,326848.15000000,2777375.05000000,2024-12-26 09:28:17.233000
109,瑞芳區,火車站,猴硐站,新北市瑞芳區光復里2鄰柴寮路70號,02-24977747,,333462.91000000,2775663.92000000,2024-12-26 09:28:17.233000
110,瑞芳區,火車站,瑞芳站,新北市瑞芳區龍潭里1鄰明燈路三段82號,02-24972033,,331288.49000000,2778062.31000000,2024-12-26 09:28:17.233000
111,樹林區,火車站,山佳站,新北市樹林區中山里2鄰山佳街28號,02-26808874,,289632.28000000,2762821.96000000,2024-12-26 09:28:17.233000
112,樹林區,火車站,南樹林站,新北市樹林區東山里12鄰中山路二段230號,0800-765888,,291275.75000000,2763681.52000000,2024-12-26 09:28:17.233000
113,樹林區,火車站,樹林站,新北市樹林區樹北里16鄰鎮前街112號,02-26812052,,292878.38000000,2764872.32000000,2024-12-26 09:28:17.233000
114,雙溪區,火車站,牡丹站,新北市雙溪區牡丹里16鄰牡丹路159號,,,335958.86000000,2772552.40000000,2024-12-26 09:28:17.233000
115,雙溪區,火車站,雙溪站,新北市雙溪區新基里4鄰朝陽街1號,02-24932980,,337442.69000000,2770331.77000000,2024-12-26 09:28:17.233000
116,鶯歌區,火車站,鶯歌站,新北市鶯歌區東鶯里4鄰文化路68號,02-26792004,,285882.73000000,2760768.67000000,2024-12-26 09:28:17.233000
117,三重區,地政事務所,新北市三重地政事務所,新北市三重區過田里4鄰新北大道一段11號8~9樓,02-29886336,,299271.11000000,2772619.73000000,2024-12-26 09:28:17.233000
118,中和區,地政事務所,新北市中和地政事務所,新北市中和區復興里30鄰復興路280號,02-22470101,,300723.48000000,2764822.47000000,2024-12-26 09:28:17.233000
119,汐止區,地政事務所,新北市汐止地政事務所,新北市汐止區秀峰里1鄰新台五路一段262號,02-26421621,,316422.67000000,2772994.16000000,2024-12-26 09:28:17.233000
120,板橋區,地政事務所,新北市板橋地政事務所,新北市板橋區深丘里5鄰實踐路1號,02-29611126,,296786.47000000,2766810.04000000,2024-12-26 09:28:17.233000
121,板橋區,地政事務所,新北市政府地政局,新北市板橋區福丘里13鄰中山路一段161號23~24樓,02-29603456,,296949.76000000,2767180.51000000,2024-12-26 09:28:17.233000
122,淡水區,地政事務所,新北市淡水地政事務所,新北市淡水區崁頂里2鄰中山北路二段375號5、6樓,02-26219645,,294721.66000000,2786576.26000000,2024-12-26 09:28:17.233000
123,新店區,地政事務所,新北市新店地政事務所,新北市新店區中興里7鄰北新路一段86號13~14樓,02-29172969,,304719.33000000,2762252.20000000,2024-12-26 09:28:17.233000
124,新莊區,地政事務所,新北市新莊地政事務所,新北市新莊區榮和里12鄰中華路一段3號,02-22779245,,295598.20000000,2769927.32000000,2024-12-26 09:28:17.233000
125,瑞芳區,地政事務所,新北市瑞芳地政事務所,新北市瑞芳區龍興里7鄰明燈路三段32號,02-24974106,,331487.68000000,2777971.51000000,2024-12-26 09:28:17.233000
126,樹林區,地政事務所,新北市樹林地政事務所,新北市樹林區中山里16鄰地政街12號,02-26808001,,289850.68000000,2762687.08000000,2024-12-26 09:28:17.233000
127,三芝區,地區醫院,新北市私立台安醫院,新北市三芝區興華里7鄰楓子林42-5號,02-26371600,,300012.16000000,2788964.93000000,2024-12-26 09:28:17.233000
128,三重區,地區醫院,三重中興醫院,新北市三重區中興里5鄰中興北街21號,02-29959680,,297388.79000000,2771012.76000000,2024-12-26 09:28:17.233000
129,三重區,地區醫院,全民醫院,新北市三重區福隆里14鄰三和路四段103-2號1~3樓,02-22821575,,299121.96000000,2774380.31000000,2024-12-26 09:28:17.233000
130,三重區,地區醫院,宏仁醫院,新北市三重區長安里20鄰三和路二段186號,02-29784022,,300310.14000000,2773506.09000000,2024-12-26 09:28:17.233000
131,三重區,地區醫院,祐民醫院,新北市三重區光榮里1鄰重新路二段2號,02-29783456,,300420.95000000,2772820.85000000,2024-12-26 09:28:17.233000
132,三峽區,地區醫院,永聖醫療社團法人文化醫院,新北市三峽區礁溪里10鄰介壽路一段199號,02-26732885,,288209.62000000,2758159.57000000,2024-12-26 09:28:17.233000
133,三峽區,地區醫院,清福醫院,新北市三峽區介壽里3鄰介壽路一段286號2樓,02-26739288,,288397.99000000,2757970.90000000,2024-12-26 09:28:17.233000
134,土城區,地區醫院,仁安醫院,新北市土城區貨饒里1鄰中央路一段62號,02-22627088,,295160.59000000,2764698.50000000,2024-12-26 09:28:17.233000
135,土城區,地區醫院,元復醫院,新北市土城區員仁里7鄰中央路二段318~324號,02-22661886,,294452.30000000,2762850.98000000,2024-12-26 09:28:17.233000
136,土城區,地區醫院,恩樺醫院,新北市土城區貨饒里2鄰中央路一段7-18號,02-22639955,,295314.28000000,2764875.85000000,2024-12-26 09:28:17.233000
137,土城區,地區醫院,新北市立土城醫院,新北市土城區埤塘里3鄰金城路二段6號,02-22630588,,295271.71000000,2763220.05000000,2024-12-26 09:28:17.233000
138,土城區,地區醫院,廣川醫院,新北市土城區學士里17鄰裕民路276號,02-22617000,,295935.71000000,2763893.35000000,2024-12-26 09:28:17.233000
139,中和區,地區醫院,中祥醫院,新北市中和區佳和里1鄰中山路二段140號,02-22405055,,300669.78000000,2766223.58000000,2024-12-26 09:28:17.233000
140,中和區,地區醫院,怡和醫院,新北市中和區廟美里31鄰連城路49號,02-22450009,,300324.39000000,2766069.68000000,2024-12-26 09:28:17.233000
141,中和區,地區醫院,祥顥醫院,新北市中和區景平里30鄰景平路412號,02-29468795,,301304.57000000,2765136.92000000,2024-12-26 09:28:17.233000
142,中和區,地區醫院,蕙生醫院,新北市中和區積穗里5鄰中山路二段551號,02-22236339,,298541.08000000,2766465.34000000,2024-12-26 09:28:17.233000
143,永和區,地區醫院,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區永興里25鄰中興街80號,02-29251302,,302256.14000000,2767185.36000000,2024-12-26 09:28:17.233000
144,永和區,地區醫院,天主教耕莘醫療財團法人永和耕莘醫院急診住院大樓,新北市永和區永興里22鄰國光路123號,,,302240.27000000,2767120.75000000,2024-12-26 09:28:17.233000
145,永和區,地區醫院,永和復康醫院,新北市永和區安和里6鄰中和路575號,02-29240925,,301672.52000000,2766301.84000000,2024-12-26 09:28:17.233000
146,板橋區,地區醫院,中英醫療社團法人中英醫院,新北市板橋區百壽里1鄰文化路一段196號,02-22563584,,297062.31000000,2768066.85000000,2024-12-26 09:28:17.233000
147,板橋區,地區醫院,中英醫療社團法人板英醫院,新北市板橋區公?里1鄰文化路一段267號,02-82513923,,296881.22000000,2767892.54000000,2024-12-26 09:28:17.233000
148,板橋區,地區醫院,板新醫院,新北市板橋區社後里6鄰中正路189號,02-29609955,,296065.64000000,2767723.08000000,2024-12-26 09:28:17.233000
149,板橋區,地區醫院,板橋中興醫院,新北市板橋區福星里19鄰忠孝路15號,02-29590707,,296458.86000000,2766084.45000000,2024-12-26 09:28:17.233000
150,板橋區,地區醫院,板橋國泰醫院,新北市板橋區福星里19鄰忠孝路5號,02-29583333,,296431.67000000,2766080.11000000,2024-12-26 09:28:17.233000
151,板橋區,地區醫院,蕭中正醫院,新北市板橋區新興里8鄰南雅南路一段15-1號,02-29685661,,296070.30000000,2766621.86000000,2024-12-26 09:28:17.233000
152,金山區,地區醫院,國立臺灣大學醫學院附設醫院金山分院,新北市金山區五湖里11鄰玉爐路7號,02-24989898,,313339.75000000,2790250.78000000,2024-12-26 09:28:17.233000
153,泰山區,地區醫院,輔仁大學學校財團法人輔仁大學附設醫院,新北市泰山區貴賢里9鄰貴子路69號,,,293519.03000000,2770285.56000000,2024-12-26 09:28:17.233000
154,淡水區,地區醫院,北新醫療社團法人北新醫院,新北市淡水區忠寮里7鄰演戲埔腳1-2號,02-26209199,,297923.88000000,2787306.29000000,2024-12-26 09:28:17.233000
155,淡水區,地區醫院,泓安醫院,新北市淡水區義山里12鄰下圭柔山91巷2號,02-26232681,,294123.78000000,2789222.97000000,2024-12-26 09:28:17.233000
